time,open,high,low,close,Plot,New Moon,First Moon,Waning,Full Moon,Plot,Plot,Chars,Chars,Chars,Chars,Chars,Chars
1693540800,1939.01,1939.07,1938.59,1938.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693541700,1938.8,1938.84,1938.27,1938.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693542600,1938.51,1940.1,1938.44,1939.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693543500,1939.77,1940.28,1939.58,1940.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693544400,1940.06,1940.09,1939.3,1939.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693545300,1939.39,1939.8,1939.3,1939.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693546200,1939.73,1940.66,1939.62,1940.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693547100,1940.64,1940.76,1939.73,1939.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693548000,1939.81,1940.29,1939.64,1940.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693548900,1940.27,1940.33,1938.54,1938.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693549800,1938.83,1939.94,1938.53,1939.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693550700,1939.78,1940.45,1939,1940.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693551600,1940.4,1941.8,1940.38,1941.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693552500,1941.72,1943.11,1941.22,1942.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693553400,1942.87,1943.59,1942.62,1943.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
1693554300,1943.19,1943.58,1942.96,1943.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
